s1_name	s2_name	s1_min	s1_max	s1_n	s2_min	s2_max	s2_n	par3	par4	par5	par6	par7	par8	par9	par10	par11	par12	par13	par14	par15	par16	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	varx1	varx3	varx5	varx6	Ntimes
par1	par2	0.001	1000	20	0.001	1000	20	0.008353	0.78	0.0008353	0.078	0.0202	0.0202	0.0202	0.0202	0.001362	0.001362	0.315537	2.640399	0.315537	2.640399	1000	0	1000	0	168551	168551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
par1	par2	0.001	1000	20	0.001	1000	20	0.008353	0.78	0.00208825	0.195	0.0202	0.0202	0.0202	0.0202	0.001362	0.001362	0.315537	2.640399	0.315537	2.640399	1000	0	1000	0	168551	168551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
par1	par2	0.001	1000	20	0.001	1000	20	0.008353	0.78	0.0041765	0.39	0.0202	0.0202	0.0202	0.0202	0.001362	0.001362	0.315537	2.640399	0.315537	2.640399	1000	0	1000	0	168551	168551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
par1	par2	0.001	1000	20	0.001	1000	20	0.008353	0.78	0.00626475	0.585	0.0202	0.0202	0.0202	0.0202	0.001362	0.001362	0.315537	2.640399	0.315537	2.640399	1000	0	1000	0	168551	168551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+000	0.00E+000	20
par1	par2	0.001	1000	20	0.001	1000	20	0.008353	0.78	0.0075177	0.702	0.0202	0.0202	0.0202	0.0202	0.001362	0.001362	0.315537	2.640399	0.315537	2.640399	1000	0	1000	0	168551	168551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
par1	par2	0.001	1000	20	0.001	1000	20	0.008353	0.78	0.008344647	0.77922	0.0202	0.0202	0.0202	0.0202	0.001362	0.001362	0.315537	2.640399	0.315537	2.640399	1000	0	1000	0	168551	168551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
par1	par2	0.001	1000	20	0.001	1000	20	0.008353	0.78	0.0008353	0.078	0.0202	0.0202	0.0202	0.0202	0.001362	0.001362	0.315537	2.640399	0.315537	2.640399	1000	0	1000	0	168551	168551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	284094396.01	284094396.01	20
par1	par2	0.001	1000	20	0.001	1000	20	0.008353	0.78	0.00208825	0.195	0.0202	0.0202	0.0202	0.0202	0.001362	0.001362	0.315537	2.640399	0.315537	2.640399	1000	0	1000	0	168551	168551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	284094396.01	284094396.01	20
par1	par2	0.001	1000	20	0.001	1000	20	0.008353	0.78	0.0041765	0.39	0.0202	0.0202	0.0202	0.0202	0.001362	0.001362	0.315537	2.640399	0.315537	2.640399	1000	0	1000	0	168551	168551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	284094396.01	284094396.01	20
par1	par2	0.001	1000	20	0.001	1000	20	0.008353	0.78	0.00626475	0.585	0.0202	0.0202	0.0202	0.0202	0.001362	0.001362	0.315537	2.640399	0.315537	2.640399	1000	0	1000	0	168551	168551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	284094396.01	284094396.01	20
par1	par2	0.001	1000	20	0.001	1000	20	0.008353	0.78	0.0075177	0.702	0.0202	0.0202	0.0202	0.0202	0.001362	0.001362	0.315537	2.640399	0.315537	2.640399	1000	0	1000	0	168551	168551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	284094396.01	284094396.01	20
par1	par2	0.001	1000	20	0.001	1000	20	0.008353	0.78	0.008344647	0.77922	0.0202	0.0202	0.0202	0.0202	0.001362	0.001362	0.315537	2.640399	0.315537	2.640399	1000	0	1000	0	168551	168551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	284094396.01	284094396.01	20
par1	par2	0.001	1000	20	0.001	1000	20	0.008353	0.78	0.0008353	0.078	0.0202	0.0202	0.0202	0.0202	0.001362	0.001362	0.315537	2.640399	0.315537	2.640399	1000	0	1000	0	168551	168551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250000	250000	7102359900.25	7102359900.25	20
par1	par2	0.001	1000	20	0.001	1000	20	0.008353	0.78	0.00208825	0.195	0.0202	0.0202	0.0202	0.0202	0.001362	0.001362	0.315537	2.640399	0.315537	2.640399	1000	0	1000	0	168551	168551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250000	250000	7102359900.25	7102359900.25	20
par1	par2	0.001	1000	20	0.001	1000	20	0.008353	0.78	0.0041765	0.39	0.0202	0.0202	0.0202	0.0202	0.001362	0.001362	0.315537	2.640399	0.315537	2.640399	1000	0	1000	0	168551	168551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250000	250000	7102359900.25	7102359900.25	20
par1	par2	0.001	1000	20	0.001	1000	20	0.008353	0.78	0.00626475	0.585	0.0202	0.0202	0.0202	0.0202	0.001362	0.001362	0.315537	2.640399	0.315537	2.640399	1000	0	1000	0	168551	168551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250000	250000	7102359900.25	7102359900.25	20
par1	par2	0.001	1000	20	0.001	1000	20	0.008353	0.78	0.0075177	0.702	0.0202	0.0202	0.0202	0.0202	0.001362	0.001362	0.315537	2.640399	0.315537	2.640399	1000	0	1000	0	168551	168551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250000	250000	7102359900.25	7102359900.25	20
par1	par2	0.001	1000	20	0.001	1000	20	0.008353	0.78	0.008344647	0.77922	0.0202	0.0202	0.0202	0.0202	0.001362	0.001362	0.315537	2.640399	0.315537	2.640399	1000	0	1000	0	168551	168551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250000	250000	7102359900.25	7102359900.25	20
par1	par2	0.001	1000	20	0.001	1000	20	0.008353	0.78	0.0008353	0.078	0.0202	0.0202	0.0202	0.0202	0.001362	0.001362	0.315537	2.640399	0.315537	2.640399	1000	0	1000	0	168551	168551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000000	1000000	2.84E+010	2.84E+010	20
par1	par2	0.001	1000	20	0.001	1000	20	0.008353	0.78	0.00208825	0.195	0.0202	0.0202	0.0202	0.0202	0.001362	0.001362	0.315537	2.640399	0.315537	2.640399	1000	0	1000	0	168551	168551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000000	1000000	2.84E+010	2.84E+010	20
par1	par2	0.001	1000	20	0.001	1000	20	0.008353	0.78	0.0041765	0.39	0.0202	0.0202	0.0202	0.0202	0.001362	0.001362	0.315537	2.640399	0.315537	2.640399	1000	0	1000	0	168551	168551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000000	1000000	2.84E+010	2.84E+010	20
par1	par2	0.001	1000	20	0.001	1000	20	0.008353	0.78	0.00626475	0.585	0.0202	0.0202	0.0202	0.0202	0.001362	0.001362	0.315537	2.640399	0.315537	2.640399	1000	0	1000	0	168551	168551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000000	1000000	2.84E+010	2.84E+010	20
par1	par2	0.001	1000	20	0.001	1000	20	0.008353	0.78	0.0075177	0.702	0.0202	0.0202	0.0202	0.0202	0.001362	0.001362	0.315537	2.640399	0.315537	2.640399	1000	0	1000	0	168551	168551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000000	1000000	2.84E+010	2.84E+010	20
par1	par2	0.001	1000	20	0.001	1000	20	0.008353	0.78	0.008344647	0.77922	0.0202	0.0202	0.0202	0.0202	0.001362	0.001362	0.315537	2.640399	0.315537	2.640399	1000	0	1000	0	168551	168551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000000	1000000	2.84E+010	2.84E+010	20
par1	par2	0.001	1000	20	0.001	1000	20	0.008353	0.78	0.0008353	0.078	0.0202	0.0202	0.0202	0.0202	0.001362	0.001362	0.315537	2.640399	0.315537	2.640399	1000	0	1000	0	168551	168551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2250000	2250000	63921239102.25	63921239102.25	20
par1	par2	0.001	1000	20	0.001	1000	20	0.008353	0.78	0.00208825	0.195	0.0202	0.0202	0.0202	0.0202	0.001362	0.001362	0.315537	2.640399	0.315537	2.640399	1000	0	1000	0	168551	168551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2250000	2250000	63921239102.25	63921239102.25	20
par1	par2	0.001	1000	20	0.001	1000	20	0.008353	0.78	0.0041765	0.39	0.0202	0.0202	0.0202	0.0202	0.001362	0.001362	0.315537	2.640399	0.315537	2.640399	1000	0	1000	0	168551	168551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2250000	2250000	63921239102.25	63921239102.25	20
par1	par2	0.001	1000	20	0.001	1000	20	0.008353	0.78	0.00626475	0.585	0.0202	0.0202	0.0202	0.0202	0.001362	0.001362	0.315537	2.640399	0.315537	2.640399	1000	0	1000	0	168551	168551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2250000	2250000	63921239102.25	63921239102.25	20
par1	par2	0.001	1000	20	0.001	1000	20	0.008353	0.78	0.0075177	0.702	0.0202	0.0202	0.0202	0.0202	0.001362	0.001362	0.315537	2.640399	0.315537	2.640399	1000	0	1000	0	168551	168551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2250000	2250000	63921239102.25	63921239102.25	20
par1	par2	0.001	1000	20	0.001	1000	20	0.008353	0.78	0.008344647	0.77922	0.0202	0.0202	0.0202	0.0202	0.001362	0.001362	0.315537	2.640399	0.315537	2.640399	1000	0	1000	0	168551	168551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2250000	2250000	63921239102.25	63921239102.25	20
